Feature ID	Taxon	Confidence
K00207	DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]	1
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	1
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	1
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	1
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	1
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	1
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	1
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	1
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	1
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	1
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	1
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	1
K00243	K00243; uncharacterized protein	1
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	1
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	1
K00246	frdC; fumarate reductase subunit C	1
K00247	frdD; fumarate reductase subunit D	1
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	1
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	1
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]	1
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	1
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]	1
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	1
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	1
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	1
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	1
K00265	gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	1
K00266	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	1
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	1
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	1
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	1
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	1
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	1
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	1
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	1
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	1
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	1
K00289	ALDH1L; formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]	1
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	1
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	1
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	1
K00299	ssuE; FMN reductase [EC:1.5.1.38]	1
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	1
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	1
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	1
K00318	PRODH; proline dehydrogenase [EC:1.5.-.-]	1
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]	1
K00324	pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	1
K00325	pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	1
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	1
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	1
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	1
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	1
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	1
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	1
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	1
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	1
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	1
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	1
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	1
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	1
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	1
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	1
K00344	qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]	1
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]	1
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]	1
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]	1
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]	1
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]	1
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]	1
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	1
K00356	E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]	1
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	1
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	1
K00364	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]	1
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	1
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	1
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	1
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	1
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	1
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	1
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	1
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	1
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	1
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	1
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	1
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	1
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	1
K00385	asrC; anaerobic sulfite reductase subunit C	1
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	1
K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]	1
K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]	1
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]	1
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II	1
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III	1
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV	1
K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]	1
K00412	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	1
K00413	CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit	1
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I [EC:1.10.3.14]	1
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II [EC:1.10.3.14]	1
K00427	lldP, lctP; L-lactate permease	1
K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]	1
K00432	gpx; glutathione peroxidase [EC:1.11.1.9]	1
K00446	dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]	1
K00449	pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]	1
K00452	HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]	1
K00456	CDO1; cysteine dioxygenase [EC:1.13.11.20]	1
K00459	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]	1
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	1
K00484	hpaC; flavin reductase (NADH) [EC:1.5.1.36]	1
K00486	KMO; kynurenine 3-monooxygenase [EC:1.14.13.9]	1
K00510	HMOX1; heme oxygenase 1 [EC:1.14.14.18]	1
K00517	CYP81F; indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]	1
K00520	merA; mercuric reductase [EC:1.16.1.1]	1
K00523	ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]	1
K00524	nrdJ; ribonucleotide reductase, class II [EC:1.17.4.1]	1
K00525	E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	1
K00526	E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	1
K00527	rtpR; ribonucleoside-triphosphate reductase (thioredoxin) [EC:1.17.4.2]	1
K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	1
K00537	ARSC1, arsC; arsenate reductase [EC:1.20.4.1]	1
K00547	mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]	1
K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	1
K00549	metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	1
K00554	trmD; tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	1
K00556	trmH; tRNA (guanosine-2'-O-)-methyltransferase [EC:2.1.1.34]	1
K00557	trmA; tRNA (uracil-5-)-methyltransferase [EC:2.1.1.35]	1
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	1
K00560	thyA, TYMS; thymidylate synthase [EC:2.1.1.45]	1
K00561	ermC, ermA; 23S rRNA (adenine-N6)-dimethyltransferase [EC:2.1.1.184]	1
K00563	rlmA1; 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	1
K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	1
K00566	mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	1
K00567	ogt, MGMT; methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	1
K00568	ubiG; 2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]	1
K00569	TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]	1
K00571	E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1
K00573	E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	1
K00574	cfa; cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	1
K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	1
K00587	ICMT, STE14; protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]	1
K00588	E2.1.1.104; caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]	1
K00590	E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]	1
K00595	cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]	1
K00598	tam; trans-aconitate 2-methyltransferase [EC:2.1.1.144]	1
K00600	glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]	1
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	1
K00603	fctD; glutamate formiminotransferase [EC:2.1.2.5]	1
K00604	MTFMT, fmt; methionyl-tRNA formyltransferase [EC:2.1.2.9]	1
K00605	gcvT, AMT; aminomethyltransferase [EC:2.1.2.10]	1
K00606	panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	1
K00609	pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	1
K00610	pyrI; aspartate carbamoyltransferase regulatory subunit	1
K00611	OTC, argF, argI; ornithine carbamoyltransferase [EC:2.1.3.3]	1
K00613	GATM; glycine amidinotransferase [EC:2.1.4.1]	1
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	1
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	1
K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]	1
K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	1
K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]	1
K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	1
K00627	DLAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	1
K00630	ATS1; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	1
K00631	plsB; glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]	1
K00632	fadA, fadI; acetyl-CoA acyltransferase [EC:2.3.1.16]	1
K00633	lacA; galactoside O-acetyltransferase [EC:2.3.1.18]	1
K00634	ptb; phosphate butyryltransferase [EC:2.3.1.19]	1
K00639	kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]	1
K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	1
K00641	metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	1
K00645	fabD; [acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	1
K00646	pksF; malonyl-ACP decarboxylase	1
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	1
K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	1
K00651	metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	1
K00652	bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]	1
K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	1
K00656	E2.3.1.54, pflD; formate C-acetyltransferase [EC:2.3.1.54]	1
K00657	speG, SAT; diamine N-acetyltransferase [EC:2.3.1.57]	1
K00658	DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	1
K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]	1
K00662	aacC; aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	1
K00663	aacA; aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]	1
K00666	K00666; fatty-acyl-CoA synthase [EC:6.2.1.-]	1
K00667	FAS2; fatty acid synthase subunit alpha, fungi type [EC:2.3.1.86]	1
K00673	astA; arginine N-succinyltransferase [EC:2.3.1.109]	1
K00674	dapD; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]	1
K00675	nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]	1
K00677	lpxA; UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	1
K00680	ytmI; uncharacterized N-acetyltransferase [EC:2.3.1.-]	1
K00681	ggt; gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	1
K00684	aat; leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	1
K00687	pbp2B, penA; penicillin-binding protein 2B	1
K00688	PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]	1
K00689	E2.4.1.5; dextransucrase [EC:2.4.1.5]	1
K00690	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]	1
K00691	mapA; maltose phosphorylase [EC:2.4.1.8]	1
K00692	sacB; levansucrase [EC:2.4.1.10]	1
K00694	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]	1
K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	1
K00700	GBE1, glgB; 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	1
K00701	cgt; cyclomaltodextrin glucanotransferase [EC:2.4.1.19]	1
K00702	E2.4.1.20; cellobiose phosphorylase [EC:2.4.1.20]	1
K00703	glgA; starch synthase [EC:2.4.1.21]	1
K00705	malQ; 4-alpha-glucanotransferase [EC:2.4.1.25]	1
K00709	ABO; histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]	1
K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]	1
